avis,Frekvens,postnummer, antall
2,24,2050,  2 
2,24,2066,  1 
2,24,2068,  1 
2,24,2165,  1 
2,24,2302,  1 
2,24,2315,  2 
2,24,2316,  1 
2,24,2317,  2 
2,24,2318,  3 
2,24,2319,  2 
2,24,2321,  1 
2,24,2380,  1 
2,24,2407,  1 
2,24,2408,  1 
2,24,2501,  1 
2,24,2551,  4 
2,24,2581,  1 
2,24,2601,  1 
2,24,3011,  1 
2,24,3202,  1 
2,24,3470,  1 
2,24,3474,  1 
2,24,3674,  1 
2,24,3712,  1 
2,24,4050,  1 
2,24,4313,  1 
2,24,4344,  1 
2,24,4351,  1 
2,24,5231,  1 
2,24,5300,  1 
2,24,6012,  1 
2,24,6065,  1 
2,24,6391,  1 
2,24,6409,  1 
2,24,6413,  1 
2,24,7004,  2 
2,24,7005,  1 
2,24,7011,  1 
2,24,7012,  1 
2,24,7014,  2 
2,24,7018,  1 
2,24,7021,  5 
2,24,7022,  2 
2,24,7023,  2 
2,24,7025,  2 
2,24,7026,  5 
2,24,7027,  2 
2,24,7029,  1 
2,24,7031,  3 
2,24,7032,  1 
2,24,7033,  1 
2,24,7035,  1 
2,24,7036,  3 
2,24,7037,  1 
2,24,7041,  2 
2,24,7043,  1 
2,24,7045,  2 
2,24,7046,  4 
